SMILES,value (% BOD),Salt Stripped Molecule,SMILES (Optimized Geometry),Converged,Energy,SMILES (RDKit Mol),SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C,0,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,1,48.78256589,CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C,5.0223,83.373,129.8852653,36.92,302.455,302.2457096,4,0,4,0,4,0,4,21,55,1,0,1,1,0,0,0,0,1,1,1,15.33166377,7.957890327,9.323172071,3.19548145,2.962600064,7.957890327,9.323172071,3.19548145,2.962600064,-0.16,18.88798464,6.149541774,7.09142853,0,16.98921277,19.55028381,11.33289652,81.57609967,0,0,0,0,0,0,0,19.55028381,0,0,11.33289652,98.56531244,0,0,0,0,0,0,0,9.775141907,9.775141907,0,20.7712116,59.29614134,12.84164325,11.20210162,0,0,5.787111153,0,0,17,0,0,0,0,0,0,0,0,4,0,0,15,0,0,6,0,0,4,8,4,0,0,0,0,9,4,0,2,3,1,2,0,0,0,1,0,0,0,0,0,0
CCC,7,CCC,CCC,1,7.66942E-11,CCC,1.4163,15.965,21.46913526,0,44.097,44.06260026,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,1,2.707106781,1.414213562,0.707106781,0,0,1.414213562,0.707106781,0,0,0,3,2,0,0,0,0,0,20.26829602,0,0,0,0,0,0,0,0,0,0,0,20.26829602,0,0,0,0,0,0,0,0,0,0,20.26829602,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1CC(CCC1N)CC2CCC(N)C(C)C2,0,CC1CC(CC2CCC(N)C(C)C2)CCC1N,CC1CC(CC2CCC(N)C(C)C2)CCC1N,1,26.83722343,CC1CC(CCC1N)CC2CCC(N)C(C)C2,2.9035,73.5778,106.5165597,52.04,238.419,238.240899,2,4,2,2,2,0,2,17,47,2,0,2,2,0,0,0,0,2,2,1,11.56854962,7.570516776,6.876135117,5.355203523,3.961751201,7.570516776,6.876135117,5.355203523,3.961751201,-0.08,13.35397242,5.70669463,3.445865767,11.46733495,12.08368166,0,23.67162418,58.79322576,0,0,0,0,0,0,0,0,0,0,35.13895914,70.87690742,0,0,0,0,0,11.46733495,0,0,0,0,13.8474744,68.61737555,12.08368166,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,6,0,0,12,0,0,2,2,2,4,2,0,0,4,1,0,0,6,6,0,0,0,0,2,0,0,0,0,0,0
CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,0,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,1,-44.53531525,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,9.0112,179.493,274.9774365,105.2,640.943,640.4914191,8,0,28,0,8,0,8,45,113,0,0,0,0,0,0,0,0,0,0,0.891891892,30.21752302,18.27944837,12.92044388,9.011543046,5.374957662,18.27944837,12.92044388,9.011543046,5.374957662,-2.12,42.88,26.00330275,17.39467674,0,50.30474901,38.12560055,29.08661465,158.1230436,0,0,0,0,0,0,0,38.12560055,0,0,29.08661465,158.1230436,26.42752786,0,0,0,23.87722115,18.94745182,19.17814874,0,0,0,106.7564706,51.36657298,0,23.67162418,31.84251833,0,0,0,23.87722115,37,0,0,0,0,0,0,0,0,8,0,0,40,4,0,0,0,0,28,16,8,0,0,0,0,12,24,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,85,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,1,-8.004370814,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,6.6338,131.716,202.052948,78.9,470.691,470.3607393,6,0,20,0,6,0,6,33,83,0,0,0,0,0,0,0,0,0,0,0.888888889,22.15838576,13.41244982,9.061175569,6.302605643,3.780003756,13.41244982,9.061175569,6.302605643,3.780003756,-1.59,31.41,19.841071,13.64653341,0,37.22564618,28.59420041,17.75371814,118.5922827,0,0,0,0,0,0,0,28.59420041,0,0,17.75371814,124.6962491,13.21376393,0,0,0,17.90791586,14.21058886,14.38361155,0,0,0,80.06735294,38.52492974,0,17.75371814,13.21376393,6.103966388,0,0,17.90791586,27,0,0,0,0,0,0,0,0,6,0,0,29,3,0,0,0,0,20,12,6,0,0,0,0,9,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N4CC4,1,O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N1CC1,O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N1CC1,1,4.160826926,O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N4CC4,2.9724,96.8734,145.9738657,64.22,336.395,336.1586259,6,2,4,2,2,4,6,25,45,4,2,2,2,0,2,2,2,0,0,0.263157895,13.86525983,8.470214141,6.405024993,4.040300694,2.558807958,8.470214141,6.405024993,4.040300694,2.558807958,-3.02,15.504358,6.469550893,4.091335345,10.63357721,48.04107411,6.420821623,0,11.12690298,48.53093655,0,0,0,20.96384692,0,0,9.589074368,0,9.799819462,0,6.420821623,36.81260283,59.65783953,0,0,23.43700157,20.43339667,0,9.589074368,0,0,24.26546827,41.81319288,37.55379817,0,0,0,0,0,12.06222902,19,0,0,0,0,0,0,2,2,2,0,0,8,2,0,12,6,0,4,8,6,2,2,0,0,2,3,2,0,12,6,0,2,0,0,2,0,0,0,0,0,0
CC(C)(C)OCCO,6,CC(C)(C)OCCO,CC(C)(C)OCCO,1,14.49804192,CC(C)(C)OCCO,0.7938,32.7908,50.47174058,29.46,118.176,118.0993797,2,1,2,1,2,0,2,8,22,0,0,0,0,0,0,0,0,0,0,1,5.769675448,2.809027046,2.684440946,0.626361867,0.351829764,2.809027046,2.684440946,0.626361867,0.351829764,-0.08,7.92,3.048033944,5.92,0,23.92134213,4.736862954,0,20.7712116,0,0,0,0,0,0,0,9.843390349,0,0,0,26.37226241,13.21376393,0,0,0,0,9.843390349,0,0,0,0,0,20.7712116,0,18.81481474,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,2,4,2,1,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)COC(=O)CS,80,CCCCC(CC)COC(=O)CS,CCCCC(CC)COC(=O)CS,1,11.7181029,CCCCC(CC)COC(=O)CS,2.6758,58.118,86.45386405,26.3,204.335,204.1184009,2,0,7,1,3,0,3,13,33,0,0,0,0,0,0,0,0,0,0,0.9,9.478128324,5.638118547,3.57385657,2.410597662,1.245835914,5.005663015,3.257628804,2.152398772,1.154548821,-0.18,12.82,8.419687014,6.935286421,0,18.32904086,9.531400138,5.917906046,39.53076089,0,0,0,0,0,0,12.62878915,9.531400138,0,0,5.917906046,39.53076089,12.35973557,0,0,0,18.59809444,4.736862954,4.794537184,0,12.62878915,0,33.10993927,12.33872767,0,12.35973557,0,0,0,0,5.969305288,10,0,0,0,0,1,0,0,0,2,0,0,11,1,0,0,0,0,7,4,2,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,4,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1,-86.87055395,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,2.9649,88.498,142.2694548,63.68,331.412,331.1783583,5,0,4,0,4,2,5,24,49,3,0,1,3,0,0,1,0,1,2,0.631578947,14.84779147,8.647087063,7.863860927,5.417426479,3.928642129,8.647087063,7.863860927,5.417426479,3.928642129,-1.91,16.93071407,5.866978651,2.698255548,0,29.41439123,19.12047451,17.25080256,53.37823529,22.7953337,0,0,0,0,0,0,19.12047451,0,4.899909731,17.25080256,53.37823529,6.730816747,22.7953337,0,0,17.78366475,4.736862954,14.38361155,4.899909731,0,0,25.49659904,50.86365741,11.14620906,5.917906046,0,6.730816747,0,11.81435946,5.969305288,19,0,0,0,0,0,0,0,1,4,0,0,9,4,0,12,1,0,4,9,5,0,0,0,0,7,3,2,0,4,7,1,1,0,1,1,0,0,0,0,2,1
C=Cc1ccccc1,2,C=Cc1ccccc1,C=Cc1ccccc1,1,16.31602167,C=Cc1ccccc1,2.3296,36.533,49.47168432,0,104.152,104.0626003,0,0,1,0,0,0,0,8,16,1,1,0,0,0,0,0,1,0,0,0,4.671208396,2.607607028,1.614807748,1.035274752,0.589121682,2.607607028,1.614807748,1.035274752,0.589121682,-1.04,5.103678161,2.31410722,0.968848852,0,0,0,0,5.563451492,36.91077103,0,6.076020107,0,0,0,0,0,0,0,0,0,0,42.47422252,0,0,6.076020107,0,0,0,0,0,42.98679113,5.563451492,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,1,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
